macula_lemma	abbott_lemma	abbott_xml_id	strongs	matched
Αἰγύπτιος				False
Αἰθίοψ				False
Αἰνέας				False
Αἰνών				False
Αἴγυπτος				False
Αὐγοῦστος				False
Βάαλ				False
Βέροια				False
Βαβυλών				False
Βαλάκ				False
Βαλαάμ				False
Βαράκ				False
Βαραββᾶς				False
Βαραχίας				False
Βαρθολομαῖος				False
Βαριησοῦς				False
Βαριωνᾶ				False
Βαρναβᾶς				False
Βαρσαββᾶς				False
Βαρτιμαῖος				False
Βεελζεβούλ				False
Βελιάρ				False
Βενιαμίν				False
Βερνίκη				False
Βεροιαῖος				False
Βηθανία				False
Βηθεσδά				False
Βηθλέεμ				False
Βηθσαϊδά				False
Βηθσαϊδάν				False
Βηθφαγή				False
Βιθυνία				False
Βλάστος				False
Βοανηργές				False
Βοσόρ				False
Βόες				False
Βόος				False
Γάδ				False
Γάϊος				False
Γαββαθα				False
Γαβριήλ				False
Γαδαρηνός				False
Γαλάτης				False
Γαλατία				False
Γαλατικός				False
Γαλιλαία				False
Γαλιλαῖος				False
Γαλλίων				False
Γαμαλιήλ				False
Γεδεών				False
Γεθσημανί				False
Γεννησαρέτ				False
Γερασηνός				False
Γολγοθᾶ				False
Γόμορρα				False
Γώγ				False
Δάμαρις				False
Δέρβη				False
Δίδυμος				False
Δαλμανουθά				False
Δαλματία				False
Δαμασκηνός				False
Δαμασκός				False
Δανιήλ				False
Δαυίδ				False
Δεκάπολις				False
Δερβαῖος				False
Δημήτριος				False
Δημᾶς				False
Διάβολος				False
Διονύσιος				False
Διοτρέφης				False
Διόσκουροι				False
Δορκάς				False
Δρούσιλλα				False
Εὐνίκη				False
Εὐοδία				False
Εὐφράτης				False
Εὔβουλος				False
Εὔτυχος				False
Εὕα				False
Ζάρα				False
Ζαβουλών				False
Ζακχαῖος				False
Ζαχαρίας				False
Ζεβεδαῖος				False
Ζεύς				False
Ζηλωτής				False
Ζηνᾶς				False
Ζοροβαβέλ				False
Θάλασσα				False
Θάρα				False
Θαδδαῖος				False
Θαμάρ				False
Θεσσαλονίκη				False
Θεσσαλονικεύς				False
Θευδᾶς				False
Θεόφιλος				False
Θυάτειρα				False
Θωμᾶς				False
Κάρπος				False
Κάϊν				False
Κίς				False
Καισάρεια				False
Καλός				False
Κανά				False
Καναναῖος				False
Κανδάκη				False
Καππαδοκία				False
Καφαρναούμ				False
Καϊάφας				False
Καϊνάμ				False
Καῖσαρ				False
Καῦδα				False
Κεγχρεαί				False
Κεδρών				False
Κηφᾶς				False
Κιλικία				False
Κλήμης				False
Κλαυδία				False
Κλαύδιος				False
Κλεοπᾶς				False
Κλωπᾶς				False
Κνίδος				False
Κολοσσαί				False
Κορίνθιος				False
Κορβᾶν				False
Κορνήλιος				False
Κούαρτος				False
Κρής				False
Κρήσκης				False
Κρήτη				False
Κρίσπος				False
Κυρήνη				False
Κυρήνιος				False
Κυρηναῖος				False
Κωσάμ				False
Κόρε				False
Κόρινθος				False
Κύπριος				False
Κύπρος				False
Κώς				False
Λάζαρος				False
Λάμεχ				False
Λίνος				False
Λαοδίκεια				False
Λαοδικεύς				False
Λασαία				False
Λευί				False
Λευίς				False
Λευίτης				False
Λευιτικός				False
Λιβερτῖνος				False
Λιβύη				False
Λιμήν				False
Λουκᾶς				False
Λούκιος				False
Λυδία				False
Λυκία				False
Λυκαονία				False
Λυκαονιστί				False
Λυσίας				False
Λυσανίας				False
Λωΐς				False
Λύδδα				False
Λύστρα				False
Λώτ				False
Μάαθ				False
Μάλχος				False
Μάρθα				False
Μίλητος				False
Μαγαδάν				False
Μαγδαληνή				False
Μαγώγ				False
Μαδιάμ				False
Μαθθάτ				False
Μαθθίας				False
Μαθθαῖος				False
Μαθουσαλά				False
Μακεδονία				False
Μακεδών				False
Μαλελεήλ				False
Μαναήν				False
Μανασσῆς				False
Μαρία				False
Μαριάμ				False
Ματθάν				False
Ματταθά				False
Ματταθίας				False
Μελίτη				False
Μελεά				False
Μελχί				False
Μελχισέδεκ				False
Μεννά				False
Μεσοποταμία				False
Μεσσίας				False
Μιτυλήνη				False
Μιχαήλ				False
Μνάσων				False
Μολόχ				False
Μυσία				False
Μωϋσῆς				False
Μύρα				False
Μᾶρκος				False
Μῆδος				False
Νάρκισσος				False
Νέα				False
Νίγερ				False
Ναΐν				False
Ναασσών				False
Ναγγαί				False
Ναζαρά				False
Ναζαρέθ				False
Ναζαρέτ				False
Ναζαρηνός				False
Ναζωραῖος				False
Ναθάμ				False
Ναθαναήλ				False
Ναιμάν				False
Ναούμ				False
Ναχώρ				False
Νεφθαλίμ				False
Νηρί				False
Νηρεύς				False
Νικάνωρ				False
Νικολαΐτης				False
Νικόδημος				False
Νικόλαος				False
Νικόπολις				False
Νινευίτης				False
Νύμφας				False
Νῶε				False
Οὐρίας				False
Οὐρβανός				False
Πάγος				False
Πάρθος				False
Πάταρα				False
Πάτμος				False
Πάφος				False
Πέργαμος				False
Πέργη				False
Πέτρος				False
Παμφυλία				False
Παρμενᾶς				False
Πατροβᾶς				False
Παῦλος				False
Περσίς				False
Πιλᾶτος				False
Πισιδία				False
Ποντικός				False
Ποτίολοι				False
Πούδης				False
Πρίσκα				False
Πρίσκιλλα				False
Πρόχορος				False
Πτολεμαΐς				False
Πόλις				False
Πόντιος				False
Πόντος				False
Πόπλιος				False
Πόρκιος				False
Πύρρος				False
Σάμος				False
Σάπφιρα				False
Σάρδεις				False
Σάρεπτα				False
Σάρρα				False
Σέργιος				False
Σήθ				False
Σήμ				False
Σίλας				False
Σίμων				False
Σαβαώθ				False
Σαδδουκαῖος				False
Σαδώκ				False
Σαλά				False
Σαλήμ				False
Σαλαθιήλ				False
Σαλαμίς				False
Σαλείμ				False
Σαλμών				False
Σαλμώνη				False
Σαλώμη				False
Σαμάρεια				False
Σαμαρίτης				False
Σαμαρῖτις				False
Σαμοθρᾴκη				False
Σαμουήλ				False
Σαμψών				False
Σαούλ				False
Σαρών				False
Σατανᾶς				False
Σαῦλος				False
Σεβαστός				False
Σεκοῦνδος				False
Σελεύκεια				False
Σεμεΐν				False
Σερούχ				False
Σιδών				False
Σιδώνιος				False
Σιλουανός				False
Σιλωάμ				False
Σιλᾶς				False
Σινᾶ				False
Σιών				False
Σκευᾶς				False
Σκύθης				False
Σμύρνα				False
Σολομών				False
Σολομῶν				False
Σουσάννα				False
Σπανία				False
Στάχυς				False
Στέφανος				False
Στεφανᾶς				False
Στοά				False
Στοϊκός				False
Συμεών				False
Συντύχη				False
Συράκουσαι				False
Συρία				False
Συροφοινίκισσα				False
Συχάρ				False
Συχέμ				False
Σωσίπατρος				False
Σωσθένης				False
Σόδομα				False
Σύρος				False
Σύρτις				False
Σώπατρος				False
Τέρτιος				False
Τέρτυλλος				False
Τίμων				False
Τίτιος				False
Τίτος				False
Ταβέρνη				False
Ταβιθά				False
Ταρσεύς				False
Ταρσός				False
Τιβέριος				False
Τιβεριάς				False
Τιμαῖος				False
Τιμόθεος				False
Τραχωνῖτις				False
Τρεῖς				False
Τρυφῶσα				False
Τρόφιμος				False
Τρύφαινα				False
Τρῳάς				False
Τυχικός				False
Τύραννος				False
Τύριος				False
Τύρος				False
Φάλεκ				False
Φίλητος				False
Φίλιπποι				False
Φίλιππος				False
Φανουήλ				False
Φαρές				False
Φαραώ				False
Φαρισαῖος				False
Φιλήμων				False
Φιλαδέλφεια				False
Φιλιππήσιος				False
Φιλόλογος				False
Φλέγων				False
Φοίβη				False
Φοινίκη				False
Φορτουνᾶτος				False
Φοῖνιξ				False
Φρυγία				False
Φόρον				False
Φύγελος				False
Φῆλιξ				False
Φῆστος				False
Χίος				False
Χαλδαῖος				False
Χανάαν				False
Χαναναῖος				False
Χαρράν				False
Χερούβ				False
Χλόη				False
Χοραζίν				False
Χουζᾶς				False
Χριστιανός				False
Χριστός				False
αββα				False
αἰγιαλός				False
αἰδώς				False
αἰνέω				False
αἰσθάνομαι				False
αἰσθητήριον				False
αἰσχροκερδής				False
αἰσχροκερδῶς				False
αἰσχρολογία				False
αἰσχρός				False
αἰσχρότης				False
αἰσχύνη				False
αἰσχύνομαι				False
αἰτέω				False
αἰτία				False
αἰτίωμα				False
αἰφνίδιος				False
αἰχμάλωτος				False
αἰχμαλωσία				False
αἰχμαλωτίζω				False
αἰχμαλωτεύω				False
αἰών				False
αἰώνιος				False
αἱματεκχυσία				False
αἱμορροέω				False
αἱρέομαι				False
αἱρετίζω				False
αἱρετικός				False
αἴγειος				False
αἴνεσις				False
αἴνιγμα				False
αἴρω				False
αἴσθησις				False
αἴτημα				False
αἴτιον				False
αἴτιος				False
αἵρεσις				False
αἶνος				False
αἷμα				False
αὐγάζω				False
αὐγή				False
αὐθάδης				False
αὐθαίρετος				False
αὐθεντέω				False
αὐλέω				False
αὐλή				False
αὐλίζομαι				False
αὐλητής				False
αὐλός				False
αὐξάνω				False
αὐστηρός				False
αὐτάρκεια				False
αὐτάρκης				False
αὐτοκατάκριτος				False
αὐτοῦ				False
αὐτόματος				False
αὐτόπτης				False
αὐτός				False
αὐτόφωρος				False
αὐτόχειρ				False
αὐχέω				False
αὐχμηρός				False
αὔξησις				False
αὔξω				False
αὔριον				False
βάθος				False
βάλλω				False
βάπτισμα				False
βάπτω				False
βάρβαρος				False
βάρος				False
βάσανος				False
βάσις				False
βάτος				False
βάτραχος				False
βάϊον				False
βέβαιος				False
βέβηλος				False
βέλος				False
βέλτιον				False
βήρυλλος				False
βία				False
βίαιος				False
βίβλος				False
βίος				False
βίωσις				False
βαθμός				False
βαθύνω				False
βαθύς				False
βαλλάντιον				False
βαπτίζω				False
βαπτισμός				False
βαπτιστής				False
βαρέω				False
βαρέως				False
βαρύς				False
βαρύτιμος				False
βασίλειον				False
βασίλειος				False
βασίλισσα				False
βασανίζω				False
βασανισμός				False
βασανιστής				False
βασιλεία				False
βασιλεύς				False
βασιλεύω				False
βασιλικός				False
βασκαίνω				False
βαστάζω				False
βατταλογέω				False
βδέλυγμα				False
βδελυκτός				False
βδελύσσομαι				False
βεβαίωσις				False
βεβαιόω				False
βεβηλόω				False
βελόνη				False
βιάζω				False
βιαστής				False
βιβλίον				False
βιβλαρίδιον				False
βιβρώσκω				False
βιωτικός				False
βιόω				False
βλάπτω				False
βλάσφημος				False
βλέμμα				False
βλέπω				False
βλαβερός				False
βλαστάνω				False
βλασφημέω				False
βλασφημία				False
βλητέος				False
βοάω				False
βοή				False
βοήθεια				False
βοηθέω				False
βοηθός				False
βολή				False
βολίζω				False
βορρᾶς				False
βοτάνη				False
βουλή				False
βουλευτής				False
βουλεύομαι				False
βουνός				False
βούλημα				False
βούλομαι				False
βοῦς				False
βρέφος				False
βρέχω				False
βραβεύω				False
βραβεῖον				False
βραδυπλοέω				False
βραδύνω				False
βραδύς				False
βραδύτης				False
βραχίων				False
βραχύ				False
βραχύς				False
βροντή				False
βροχή				False
βρυγμός				False
βρόχος				False
βρύχω				False
βρύω				False
βρώσιμος				False
βρῶμα				False
βρῶσις				False
βυθίζω				False
βυθός				False
βυρσεύς				False
βωμός				False
βόθυνος				False
βόρβορος				False
βόσκω				False
βότρυς				False
βύσσινος				False
βύσσος				False
βῆμα				False
γάγγραινα				False
γάζα				False
γάλα				False
γάμος				False
γάρ				False
γέ				False
γέεννα				False
γέλως				False
γέμω				False
γένεσις				False
γένημα				False
γέννημα				False
γένος				False
γέρων				False
γίνομαι				False
γαζοφυλάκιον				False
γαλήνη				False
γαμέω				False
γαμίζω				False
γαμίσκω				False
γαστήρ				False
γείτων				False
γελάω				False
γεμίζω				False
γενέσια				False
γενεά				False
γενεαλογέομαι				False
γενεαλογία				False
γενετή				False
γεννάω				False
γεννητός				False
γερουσία				False
γεωργέω				False
γεωργός				False
γεύομαι				False
γεώργιον				False
γηράσκω				False
γινώσκω				False
γλεῦκος				False
γλυκύς				False
γλωσσόκομον				False
γλῶσσα				False
γνήσιος				False
γναφεύς				False
γνησίως				False
γνωρίζω				False
γνωστός				False
γνόφος				False
γνώμη				False
γνώστης				False
γνῶσις				False
γογγυσμός				False
γογγυστής				False
γογγύζω				False
γονεύς				False
γονυπετέω				False
γράμμα				False
γράφω				False
γραμματεύς				False
γραπτός				False
γραφή				False
γραώδης				False
γρηγορέω				False
γυμνάζω				False
γυμνασία				False
γυμνιτεύω				False
γυμνός				False
γυμνότης				False
γυνή				False
γυναικάριον				False
γυναικεῖος				False
γωνία				False
γόης				False
γόμος				False
γόνυ				False
γῆ				False
γῆρας				False
δάκνω				False
δάκρυον				False
δάκτυλος				False
δάμαλις				False
δάνειον				False
δέ				False
δέησις				False
δέκα				False
δέκατος				False
δένδρον				False
δέομαι				False
δέος				False
δέρμα				False
δέρω				False
δέσμη				False
δέσμιος				False
δέχομαι				False
δέω				False
δή				False
δήπου				False
δίδραχμον				False
δίδωμι				False
δίκαιος				False
δίκη				False
δίκτυον				False
δίλογος				False
δίς				False
δίστομος				False
δίψος				False
δίψυχος				False
δαίμων				False
δαιμονίζομαι				False
δαιμονιώδης				False
δαιμόνιον				False
δακρύω				False
δακτύλιος				False
δαμάζω				False
δανείζω				False
δανιστής				False
δαπάνη				False
δαπανάω				False
δείκνυμι				False
δειγματίζω				False
δειλία				False
δειλιάω				False
δειλός				False
δεινῶς				False
δειπνέω				False
δεισιδαίμων				False
δεισιδαιμονία				False
δεκάτη				False
δεκαοκτώ				False
δεκαπέντε				False
δεκατέσσαρες				False
δεκατόω				False
δεκτός				False
δελεάζω				False
δεξιολάβος				False
δεξιός				False
δερμάτινος				False
δεσμεύω				False
δεσμοφύλαξ				False
δεσμωτήριον				False
δεσμόν				False
δεσμός				False
δεσμώτης				False
δεσπότης				False
δευτεραῖος				False
δεύτερος				False
δεῖ				False
δεῖγμα				False
δεῖνα				False
δεῖπνον				False
δεῦρο				False
δεῦτε				False
δηλόω				False
δημηγορέω				False
δημιουργός				False
δημόσιος				False
δηνάριον				False
διΐστημι				False
διά				False
διάγνωσις				False
διάγω				False
διάδημα				False
διάδοχος				False
διάκονος				False
διάκρισις				False
διάλεκτος				False
διάνοια				False
διάστημα				False
διάταγμα				False
διάφορος				False
διέξοδος				False
διέρχομαι				False
διήγησις				False
διαίρεσις				False
διαβάλλω				False
διαβαίνω				False
διαβεβαιόομαι				False
διαβλέπω				False
διαγίνομαι				False
διαγγέλλω				False
διαγινώσκω				False
διαγογγύζω				False
διαγρηγορέω				False
διαδέχομαι				False
διαδίδωμι				False
διαζώννυμι				False
διαθήκη				False
διαιρέω				False
διακαθαίρω				False
διακαθαρίζω				False
διακατελέγχομαι				False
διακονέω				False
διακονία				False
διακούω				False
διακρίνω				False
διακωλύω				False
διακόσιοι				False
διαλέγομαι				False
διαλαλέω				False
διαλείπω				False
διαλλάσσομαι				False
διαλογίζομαι				False
διαλογισμός				False
διαλύω				False
διαμάχομαι				False
διαμένω				False
διαμαρτύρομαι				False
διαμερίζω				False
διαμερισμός				False
διανέμω				False
διανεύω				False
διανοίγω				False
διανυκτερεύω				False
διανόημα				False
διανύω				False
διαπαρατριβή				False
διαπεράω				False
διαπλέω				False
διαπονέομαι				False
διαπορέω				False
διαπορεύομαι				False
διαπρίομαι				False
διαπραγματεύομαι				False
διαρπάζω				False
διαρρήγνυμι				False
διασαφέω				False
διασείω				False
διασκορπίζω				False
διασπάω				False
διασπείρω				False
διασπορά				False
διαστέλλομαι				False
διαστολή				False
διαστρέφω				False
διασῴζω				False
διατάσσω				False
διατίθεμαι				False
διαταγή				False
διαταράσσω				False
διατελέω				False
διατηρέω				False
διατρίβω				False
διατροφή				False
διαυγάζω				False
διαυγής				False
διαφέρω				False
διαφεύγω				False
διαφημίζω				False
διαφθείρω				False
διαφθορά				False
διαφυλάσσω				False
διαχειρίζομαι				False
διαχλευάζω				False
διαχωρίζομαι				False
διδάσκαλος				False
διδάσκω				False
διδακτικός				False
διδακτός				False
διδασκαλία				False
διδαχή				False
διεγείρω				False
διενθυμέομαι				False
διερμηνευτής				False
διερμηνεύω				False
διερωτάω				False
διετής				False
διετία				False
διηγέομαι				False
διηνεκής				False
διθάλασσος				False
δικαίωμα				False
δικαίως				False
δικαίωσις				False
δικαιοκρισία				False
δικαιοσύνη				False
δικαιόω				False
δικαστής				False
διοδεύω				False
διοπετής				False
διορύσσω				False
διπλοῦς				False
διπλόω				False
δισμυριάς				False
διστάζω				False
δισχίλιοι				False
διχάζω				False
διχοστασία				False
διχοτομέω				False
διψάω				False
διωγμός				False
διϊκνέομαι				False
διϊσχυρίζομαι				False
διϋλίζω				False
διό				False
διόπερ				False
διόρθωμα				False
διόρθωσις				False
διότι				False
διώκτης				False
διώκω				False
δογματίζομαι				False
δοκέω				False
δοκίμιον				False
δοκιμάζω				False
δοκιμή				False
δοκιμασία				False
δοκός				False
δολιόω				False
δολόω				False
δοξάζω				False
δουλαγωγέω				False
δουλεία				False
δουλεύω				False
δουλόω				False
δοχή				False
δούλη				False
δοῦλος				False
δράκων				False
δράσσομαι				False
δρέπανον				False
δραχμή				False
δρόμος				False
δυνάστης				False
δυναμόω				False
δυνατέω				False
δυνατός				False
δυσβάστακτος				False
δυσεντέριον				False
δυσερμήνευτος				False
δυσκόλως				False
δυσμή				False
δυσνόητος				False
δυσφημέω				False
δυσφημία				False
δωδέκατος				False
δωδεκάφυλον				False
δωρέομαι				False
δωρεά				False
δωρεάν				False
δόγμα				False
δόκιμος				False
δόλιος				False
δόλος				False
δόμα				False
δόξα				False
δόσις				False
δότης				False
δύναμαι				False
δύναμις				False
δύνω				False
δύο				False
δύσις				False
δύσκολος				False
δώδεκα				False
δώρημα				False
δῆλος				False
δῆμος				False
δῶμα				False
δῶρον				False
εφφαθα				False
εἰ				False
εἰδέα				False
εἰδωλεῖον				False
εἰδωλολάτρης				False
εἰδωλολατρία				False
εἰδωλόθυτον				False
εἰκών				False
εἰκῇ				False
εἰλικρίνεια				False
εἰλικρινής				False
εἰμί				False
εἰρήνη				False
εἰρηνεύω				False
εἰρηνικός				False
εἰρηνοποιέω				False
εἰρηνοποιός				False
εἰς				False
εἰσάγω				False
εἰσέρχομαι				False
εἰσακούω				False
εἰσδέχομαι				False
εἰσκαλέομαι				False
εἰσπηδάω				False
εἰσπορεύομαι				False
εἰστρέχω				False
εἰσφέρω				False
εἴδωλον				False
εἴκοσι(ν)				False
εἴκω				False
εἴπερ				False
εἴσειμι				False
εἴσοδος				False
εἴτε				False
εἴωθα				False
εἵνεκεν				False
εἶδος				False
εἶτα				False
εἷς				False
εὐάρεστος				False
εὐαγγέλιον				False
εὐαγγελίζω				False
εὐαγγελιστής				False
εὐαρέστως				False
εὐαρεστέω				False
εὐγενής				False
εὐδία				False
εὐδοκέω				False
εὐδοκία				False
εὐεργέτης				False
εὐεργεσία				False
εὐεργετέω				False
εὐθέως				False
εὐθυδρομέω				False
εὐθυμέω				False
εὐθύμως				False
εὐθύνω				False
εὐθύς				False
εὐθύτης				False
εὐκαίρως				False
εὐκαιρέω				False
εὐκαιρία				False
εὐκοπώτερος				False
εὐλάβεια				False
εὐλαβέομαι				False
εὐλαβής				False
εὐλογέω				False
εὐλογία				False
εὐλογητός				False
εὐμετάδοτος				False
εὐνοέω				False
εὐνουχίζω				False
εὐνοῦχος				False
εὐοδόομαι				False
εὐπάρεδρον				False
εὐπειθής				False
εὐπερίστατος				False
εὐποιΐα				False
εὐπορέομαι				False
εὐπορία				False
εὐπρέπεια				False
εὐπροσωπέω				False
εὐπρόσδεκτος				False
εὐρακύλων				False
εὐρύχωρος				False
εὐσέβεια				False
εὐσεβέω				False
εὐσεβής				False
εὐσεβῶς				False
εὐσχήμων				False
εὐσχημοσύνη				False
εὐσχημόνως				False
εὐτραπελία				False
εὐτόνως				False
εὐφημία				False
εὐφορέω				False
εὐφραίνω				False
εὐφροσύνη				False
εὐχάριστος				False
εὐχή				False
εὐχαριστέω				False
εὐχαριστία				False
εὐψυχέω				False
εὐωδία				False
εὐώνυμος				False
εὑρίσκω				False
εὔθετος				False
εὔθυμος				False
εὔκαιρος				False
εὔνοια				False
εὔσημος				False
εὔσπλαγχνος				False
εὔφημος				False
εὔχομαι				False
εὔχρηστος				False
εὖ				False
εὖγε				False
ζάω				False
ζέω				False
ζήτημα				False
ζήτησις				False
ζεστός				False
ζευκτηρία				False
ζεῦγος				False
ζηλεύω				False
ζηλόω				False
ζημία				False
ζημιόω				False
ζητέω				False
ζιζάνιον				False
ζυγός				False
ζυμόω				False
ζωή				False
ζωγρέω				False
ζόφος				False
ζύμη				False
ζώνη				False
ζώννυμι				False
ζῆλος				False
ζῳογονέω				False
ζῳοποιέω				False
ζῷον				False
θά				False
θάλπω				False
θάμβος				False
θάνατος				False
θάπτω				False
θάρσος				False
θέατρον				False
θέλημα				False
θέλησις				False
θέλω				False
θέρμη				False
θέρος				False
θήκη				False
θήρα				False
θαμβέομαι				False
θανάσιμον				False
θανατηφόρος				False
θανατόω				False
θαρρέω				False
θαρσέω				False
θαυμάζω				False
θαυμάσιος				False
θαυμαστός				False
θαῦμα				False
θεά				False
θεάομαι				False
θεατρίζω				False
θειότης				False
θειώδης				False
θεμέλιον				False
θεμέλιος				False
θεμελιόω				False
θεοδίδακτος				False
θεομάχος				False
θεοσέβεια				False
θεοσεβής				False
θεοστυγής				False
θεράπων				False
θερίζω				False
θεραπεία				False
θεραπεύω				False
θερισμός				False
θεριστής				False
